#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Julio Miglionico,GAI,2,2.9,16.5,24.8,0.667,0.0,0.0,0.0,16.5,16.5,1.0,0.0,16.5,8.3,0.0,8.3,0.0,0.0,0.0,49.6,2012,Venezuelan LPB
2,Cheyne Gadson,GUA,2,25.7,14.1,23.8,0.593,1.8,7.1,0.25,7.1,7.1,1.0,5.3,5.3,0.0,7.9,7.9,4.4,1.8,0.0,37.0,2012,Venezuelan LPB
3,Jose Manaure,MAR,3,1.8,9.1,18.2,0.5,0.0,0.0,0.0,18.2,18.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,36.4,2012,Venezuelan LPB
4,Delonte Holland,TOR,21,35.0,10.5,20.3,0.518,2.1,5.2,0.41,11.1,12.7,0.875,2.6,2.6,1.9,3.2,5.1,3.0,1.7,0.4,34.3,2012,Venezuelan LPB
5,Maurice Carter,TRO,7,13.4,10.6,17.7,0.6,5.6,9.1,0.611,7.1,11.1,0.636,2.0,0.5,0.0,2.0,2.0,6.1,4.6,0.0,33.9,2012,Venezuelan LPB
6,Donald Sims,GAI,21,35.6,10.1,20.1,0.503,3.0,8.3,0.366,10.1,11.3,0.8909999999999999,3.9,1.7,0.4,3.1,3.5,5.8,2.8,0.1,33.3,2012,Venezuelan LPB
7,Booker Woodfox,TRO,8,21.2,11.4,21.9,0.519,5.8,11.1,0.525,4.4,4.4,1.0,2.8,3.9,0.6,2.5,3.1,5.8,2.2,0.0,33.0,2012,Venezuelan LPB
8,Leon Rodgers,MAR,49,29.7,10.1,19.8,0.508,3.4,8.2,0.414,8.2,10.2,0.8079999999999999,3.8,3.9,1.5,5.2,6.7,3.7,1.8,0.3,31.7,2012,Venezuelan LPB
9,Blake Walker,GIG,22,26.0,11.8,24.6,0.479,2.8,7.8,0.36,4.0,5.1,0.78,2.5,3.3,1.4,4.3,5.7,2.4,1.5,0.0,30.4,2012,Venezuelan LPB
10,Francisco Sanabria,BUC,1,4.6,10.1,10.1,1.0,10.1,10.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,30.2,2012,Venezuelan LPB
11,Darius Adams,GUA,16,28.7,11.0,23.4,0.47100000000000003,3.3,9.7,0.34,4.7,6.5,0.73,5.2,3.9,0.8,4.9,5.8,4.8,3.3,0.2,30.1,2012,Venezuelan LPB
12,Christopher Moore,TOR,2,27.5,11.3,22.5,0.5,0.9,4.3,0.2,6.1,9.5,0.636,2.6,5.2,4.3,4.3,8.7,0.0,0.9,0.0,29.4,2012,Venezuelan LPB
13,Alfred Aboya,BUC,1,14.1,13.0,26.0,0.5,0.0,3.3,0.0,3.3,6.5,0.5,0.0,13.0,6.5,3.3,9.8,0.0,3.3,0.0,29.3,2012,Venezuelan LPB
14,LeRoy Hickerson,BUC,13,32.4,10.9,21.7,0.503,0.2,2.3,0.1,6.7,10.4,0.64,3.9,3.0,3.5,5.7,9.3,2.5,2.0,1.4,28.7,2012,Venezuelan LPB
15,Tierre Brown,TOR,4,31.6,11.3,20.6,0.5489999999999999,1.6,4.5,0.364,3.6,5.3,0.6920000000000001,4.9,1.6,0.4,2.4,2.8,4.0,2.0,0.0,27.9,2012,Venezuelan LPB
16,Russell Carter,PAN,2,23.2,10.5,20.1,0.524,4.8,10.5,0.455,1.9,4.8,0.4,1.9,4.8,1.9,4.8,6.7,0.0,1.0,1.9,27.7,2012,Venezuelan LPB
17,DeVaughn Lamont,TOR,8,26.8,11.8,17.1,0.693,0.0,0.0,0.0,3.4,4.6,0.75,1.4,3.4,4.6,7.3,11.8,0.5,2.0,0.7,27.1,2012,Venezuelan LPB
18,Ricky Soliver,TOR,3,25.1,8.4,16.1,0.52,3.2,7.1,0.455,7.1,9.0,0.7859999999999999,5.1,3.9,0.6,5.1,5.8,2.6,1.3,0.6,27.0,2012,Venezuelan LPB
19,Oscar Torres,MAR,40,24.4,8.8,18.0,0.49,3.3,8.7,0.379,5.6,7.7,0.725,2.2,3.2,2.2,5.5,7.7,4.2,2.9,0.5,26.6,2012,Venezuelan LPB
20,Hassan Adams,GUA,19,27.2,10.4,18.8,0.551,0.1,1.4,0.067,5.0,6.9,0.72,2.8,4.3,2.3,6.2,8.5,2.0,3.6,0.7,26.4,2012,Venezuelan LPB
21,Ryan Humphrey,BUC,3,22.7,9.6,21.3,0.452,0.0,0.0,0.0,6.9,12.4,0.556,4.8,5.5,4.8,6.9,11.7,2.7,0.0,0.7,26.1,2012,Venezuelan LPB
22,Torraye Braggs,GAI,11,29.2,10.3,20.4,0.503,0.3,0.8,0.33299999999999996,5.1,6.3,0.8220000000000001,4.4,5.6,3.2,10.8,14.0,4.7,1.1,0.1,26.0,2012,Venezuelan LPB
23,Greg Grays,MAR,6,14.7,7.5,15.5,0.48100000000000004,5.7,11.5,0.5,5.2,5.7,0.9,2.3,2.3,0.0,2.3,2.3,2.9,1.1,0.0,25.8,2012,Venezuelan LPB
24,Marcus Elliot,GUA,9,24.0,9.1,22.2,0.41,2.4,6.4,0.379,5.1,7.3,0.6970000000000001,2.9,5.1,3.1,6.7,9.8,2.9,2.0,1.8,25.8,2012,Venezuelan LPB
25,Heissler Guillen,BUC,5,28.0,9.7,21.7,0.446,1.7,5.7,0.294,4.7,4.7,1.0,2.3,4.3,1.0,3.7,4.7,6.7,3.3,0.3,25.7,2012,Venezuelan LPB
26,John Millsap,GUA,18,30.8,9.6,19.9,0.483,2.2,6.4,0.34700000000000003,4.0,6.4,0.627,2.3,3.5,2.7,7.4,10.1,2.1,1.4,0.6,25.7,2012,Venezuelan LPB
27,Ruben Nembhard,GAI,2,28.9,7.7,16.2,0.474,0.0,1.7,0.0,10.2,10.2,1.0,2.6,1.7,0.9,7.7,8.5,4.3,1.7,0.0,25.6,2012,Venezuelan LPB
28,R.L. Horton,PAN,17,33.4,10.5,21.2,0.494,1.6,6.0,0.27399999999999997,3.0,4.5,0.655,1.8,2.1,1.4,3.4,4.8,4.7,3.5,0.1,25.5,2012,Venezuelan LPB
29,Robert Glenn,TRO,22,28.3,9.6,15.7,0.608,0.0,0.1,0.0,5.9,9.3,0.628,3.2,5.7,3.2,5.7,8.9,4.7,3.8,0.8,25.0,2012,Venezuelan LPB
30,Julius Hodge,MAR,3,9.0,12.4,28.4,0.43799999999999994,0.0,0.0,0.0,0.0,3.6,0.0,7.1,10.7,7.1,3.6,10.7,3.6,0.0,0.0,24.9,2012,Venezuelan LPB
31,Kelvin Pena,TOR,5,33.8,9.2,17.0,0.542,2.0,4.3,0.467,4.3,5.5,0.789,2.9,2.3,1.4,3.2,4.6,4.9,4.3,0.0,24.8,2012,Venezuelan LPB
32,Shaun Pruitt,TRO,30,30.8,10.3,18.7,0.551,0.0,0.1,0.0,4.2,7.8,0.541,2.8,3.9,5.6,7.9,13.5,1.7,2.0,1.4,24.8,2012,Venezuelan LPB
33,Tre Kelley,MAR,4,17.5,8.7,23.9,0.364,2.2,10.1,0.214,5.1,6.5,0.778,3.6,2.2,1.4,0.0,1.4,8.7,1.4,0.0,24.6,2012,Venezuelan LPB
34,Javinger Vargas Hernandez,TRO,3,6.1,7.4,19.7,0.375,4.9,14.7,0.33299999999999996,4.9,4.9,1.0,2.5,7.4,2.5,0.0,2.5,2.5,2.5,0.0,24.6,2012,Venezuelan LPB
35,Carl Elliott,COC,44,31.1,9.5,21.8,0.43700000000000006,1.2,4.9,0.23800000000000002,4.4,6.5,0.684,2.7,3.2,1.5,3.5,5.0,6.6,3.8,0.3,24.6,2012,Venezuelan LPB
36,Andrew Feeley,GIG,28,29.1,9.6,18.5,0.52,0.0,0.2,0.0,5.3,6.1,0.861,3.6,5.4,2.6,7.5,10.1,2.4,1.9,1.0,24.5,2012,Venezuelan LPB
37,Trey Gilder,TRO,11,32.6,8.8,15.8,0.557,0.4,1.4,0.3,6.3,9.0,0.708,2.3,5.2,4.7,7.7,12.4,4.7,3.2,1.2,24.4,2012,Venezuelan LPB
38,Victor Diaz,PAN,2,17.8,8.1,24.3,0.33299999999999996,1.3,12.1,0.111,6.7,6.7,1.0,1.3,8.1,0.0,1.3,1.3,2.7,4.0,0.0,24.3,2012,Venezuelan LPB
39,Michael Flores,PAN,16,25.0,9.8,18.0,0.545,0.7,2.4,0.28600000000000003,3.8,5.2,0.733,3.0,4.8,0.7,3.7,4.4,3.5,2.2,0.3,24.1,2012,Venezuelan LPB
40,Paul Stoll,GIG,15,34.5,7.6,16.8,0.452,3.9,10.6,0.366,4.9,6.1,0.812,4.3,3.9,0.4,2.7,3.0,9.7,6.3,0.0,24.0,2012,Venezuelan LPB
41,Kenny Hayes,TRO,1,24.2,11.0,20.2,0.545,1.8,5.5,0.33299999999999996,0.0,0.0,0.0,1.8,0.0,0.0,1.8,1.8,3.7,1.8,0.0,23.9,2012,Venezuelan LPB
42,Sek Henry,BUC,24,30.1,8.6,16.7,0.514,2.4,6.2,0.376,4.2,6.3,0.67,1.7,4.9,1.6,3.7,5.3,3.1,2.5,0.4,23.8,2012,Venezuelan LPB
43,Rogers Washington,GUA,16,21.7,8.5,17.6,0.484,1.2,3.3,0.375,5.4,6.3,0.848,1.5,4.7,1.9,3.6,5.5,2.1,0.8,0.3,23.7,2012,Venezuelan LPB
44,Camontae Griffin,GIG,3,19.2,4.6,12.7,0.35700000000000004,0.9,2.7,0.33299999999999996,13.7,16.4,0.833,4.6,7.3,0.0,2.7,2.7,10.0,4.6,0.0,23.7,2012,Venezuelan LPB
45,Miguel Fernandez,TOR,21,11.3,7.8,16.0,0.48700000000000004,4.5,9.4,0.478,3.5,4.1,0.85,1.0,4.9,0.6,1.8,2.5,1.2,2.3,0.0,23.6,2012,Venezuelan LPB
46,Jack Martinez,COC,13,32.8,9.3,21.9,0.42700000000000005,0.7,2.4,0.28600000000000003,4.2,7.4,0.569,3.2,4.3,3.9,11.6,15.5,2.1,0.9,0.7,23.6,2012,Venezuelan LPB
47,Alpha Bangura,BUC,3,24.7,8.3,19.1,0.433,3.8,6.4,0.6,3.2,3.8,0.833,2.5,3.2,0.0,1.9,1.9,3.2,3.2,0.0,23.5,2012,Venezuelan LPB
48,Jesus Urbina,TOR,19,33.2,8.3,17.2,0.48200000000000004,1.3,3.2,0.405,5.2,6.7,0.782,2.4,3.6,3.2,9.0,12.1,1.5,1.9,0.2,23.1,2012,Venezuelan LPB
