#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Mike James,MIL,3,31.1,12.5,26.5,0.47100000000000003,5.7,12.5,0.45799999999999996,7.8,8.3,0.938,3.6,3.6,0.0,8.8,8.8,5.2,1.6,0.0,38.4,2019,Zadar SuperCup
2,Robin Amaize,BAY,3,8.5,13.8,21.7,0.636,3.9,9.8,0.4,5.9,5.9,1.0,3.9,13.8,0.0,3.9,3.9,0.0,2.0,0.0,37.4,2019,Zadar SuperCup
3,Nihad Djedovic,BAY,1,17.1,15.2,24.4,0.625,3.0,6.1,0.5,0.0,9.1,0.0,3.0,0.0,3.0,3.0,6.1,6.1,3.0,0.0,33.5,2019,Zadar SuperCup
4,Devin Booker,BAY,3,18.5,12.7,19.9,0.636,1.8,1.8,1.0,4.5,5.4,0.833,3.6,3.6,2.7,9.0,11.8,4.5,0.9,0.9,31.6,2019,Zadar SuperCup
5,Kyle Hines,CSKA,3,15.5,15.2,17.4,0.875,0.0,0.0,0.0,1.1,3.3,0.33299999999999996,2.2,9.8,3.3,3.3,6.5,0.0,2.2,2.2,31.5,2019,Zadar SuperCup
6,Johnny O'Bryant,MAC,2,22.2,9.3,28.9,0.321,4.1,10.3,0.4,5.2,9.3,0.556,3.1,6.2,5.2,11.4,16.5,4.1,1.0,0.0,27.9,2019,Zadar SuperCup
7,Ali Muhammed,FEN,3,15.0,7.8,15.5,0.5,4.4,10.0,0.444,7.8,10.0,0.778,4.4,4.4,1.1,4.4,5.5,3.3,1.1,0.0,27.7,2019,Zadar SuperCup
8,Jan Vesely,FEN,3,22.2,9.0,14.9,0.6,0.0,0.7,0.0,9.7,16.4,0.591,2.2,6.7,6.0,11.2,17.2,2.2,3.0,2.2,27.6,2019,Zadar SuperCup
9,Angelo Caloiaro,MAC,3,16.8,9.6,20.2,0.478,1.8,8.8,0.2,5.3,5.3,1.0,1.8,1.8,5.3,3.5,8.8,2.6,4.4,0.9,26.3,2019,Zadar SuperCup
10,Nemanja Nedovic,MIL,3,22.9,5.6,12.0,0.47100000000000003,5.6,9.2,0.615,9.2,9.2,1.0,2.1,5.6,0.0,2.1,2.1,4.9,0.7,0.0,26.1,2019,Zadar SuperCup
11,Alec Peters,CSKA,2,15.9,9.5,20.6,0.462,3.2,11.1,0.28600000000000003,3.2,3.2,1.0,3.2,9.5,1.6,6.3,7.9,1.6,0.0,0.0,25.4,2019,Zadar SuperCup
12,Cory Higgins,CSKA,3,27.4,8.6,16.5,0.519,1.2,4.3,0.28600000000000003,6.1,8.6,0.7140000000000001,4.9,3.7,0.6,1.2,1.8,5.5,1.2,0.6,24.5,2019,Zadar SuperCup
13,Melih Mahmutoglu,FEN,3,12.8,9.1,11.7,0.778,3.9,6.5,0.6,1.3,1.3,1.0,3.9,2.6,2.6,3.9,6.5,1.3,1.3,0.0,23.4,2019,Zadar SuperCup
14,Lester Hudson,LIA,2,15.7,9.3,20.1,0.462,1.5,6.2,0.25,3.1,4.6,0.667,9.3,10.8,0.0,3.1,3.1,4.6,1.5,0.0,23.2,2019,Zadar SuperCup
