#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Mantvydas Staselis,ZAL,3,10.5,13.8,23.1,0.6,7.7,10.8,0.7140000000000001,9.2,10.8,0.857,3.1,3.1,0.0,4.6,4.6,3.1,3.1,0.0,44.6,2012,adidas Next Generation Tournament
2,Augustinas Jankaitis,LIE,4,20.0,15.3,24.5,0.625,0.0,0.0,0.0,12.3,15.3,0.8,1.8,8.0,8.0,13.5,21.5,1.2,1.2,0.6,42.9,2012,adidas Next Generation Tournament
3,Shang Gao,CHI,3,37.7,13.7,30.6,0.447,4.0,12.5,0.32299999999999995,8.5,10.9,0.778,6.0,1.6,1.2,6.4,7.7,2.0,1.2,0.8,39.9,2012,adidas Next Generation Tournament
4,Justas Tamulis,ZAL,3,16.5,11.8,38.2,0.308,8.8,28.4,0.31,3.9,9.8,0.4,3.9,1.0,0.0,5.9,5.9,5.9,0.0,0.0,36.3,2012,adidas Next Generation Tournament
5,Tautvydas Jodelis,LIE,4,22.0,10.6,21.8,0.48700000000000004,7.8,16.2,0.483,6.7,7.8,0.857,0.6,2.2,2.2,1.7,3.9,3.9,1.1,0.6,35.7,2012,adidas Next Generation Tournament
6,Rokas Gustys,ZAL,3,22.7,14.2,19.9,0.7140000000000001,0.0,0.7,0.0,3.6,8.5,0.41700000000000004,0.7,7.1,12.8,9.3,22.1,2.1,3.6,1.4,32.1,2012,adidas Next Generation Tournament
7,Petar Aranitovic,ZVE,3,13.4,9.8,29.5,0.33299999999999996,2.5,11.1,0.222,9.8,11.1,0.889,4.9,6.1,0.0,1.2,1.2,4.9,3.7,0.0,31.9,2012,adidas Next Generation Tournament
8,James Birsen,FEN,4,33.0,11.6,23.6,0.49200000000000005,4.1,7.9,0.524,4.1,7.9,0.524,5.6,4.9,3.4,5.2,8.6,6.4,1.9,0.0,31.4,2012,adidas Next Generation Tournament
9,Ludde Hakanson,FCB,3,24.6,10.9,24.3,0.447,5.8,12.2,0.474,3.8,3.8,1.0,2.6,2.6,1.3,3.8,5.1,2.6,5.1,0.0,31.4,2012,adidas Next Generation Tournament
10,Edvinas Seskus,LIE,4,23.9,12.3,22.1,0.5579999999999999,1.0,4.6,0.222,4.6,4.6,1.0,5.1,2.1,2.6,3.6,6.2,5.1,1.0,0.5,30.3,2012,adidas Next Generation Tournament
11,Dario Saric,ZAG,3,39.0,10.7,24.6,0.435,1.2,4.8,0.25,7.5,10.3,0.731,5.9,4.0,2.8,15.5,18.2,6.7,4.0,0.0,30.1,2012,adidas Next Generation Tournament
12,Marius Grigonis,ZAL,3,26.4,9.8,19.6,0.5,4.9,8.0,0.615,5.5,6.1,0.9,4.3,7.3,1.8,8.6,10.4,7.3,0.6,0.0,30.0,2012,adidas Next Generation Tournament
13,Dusan Ristic,ZVE,3,34.0,12.6,22.7,0.5529999999999999,0.0,0.0,0.0,4.4,6.3,0.6920000000000001,2.9,4.4,7.7,9.7,17.4,0.5,1.5,1.5,29.5,2012,adidas Next Generation Tournament
14,Tomas Dimsa,ZAL,3,25.4,12.1,23.6,0.514,3.2,9.6,0.33299999999999996,1.9,3.2,0.6,3.2,2.5,3.2,3.8,7.0,3.8,4.5,0.6,29.3,2012,adidas Next Generation Tournament
15,Karolis Razukas,LIE,4,4.7,13.0,18.2,0.7140000000000001,2.6,2.6,1.0,0.0,0.0,0.0,5.2,5.2,2.6,5.2,7.8,2.6,0.0,0.0,28.5,2012,adidas Next Generation Tournament
16,Dominik Mavra,ZAG,3,35.4,8.7,18.8,0.465,3.9,11.8,0.33299999999999996,5.7,7.0,0.812,6.1,4.8,0.0,5.2,5.2,6.1,0.4,0.0,27.1,2012,adidas Next Generation Tournament
17,Nick Spires,FCB,3,21.6,11.0,25.6,0.429,0.7,4.4,0.16699999999999998,4.4,5.9,0.75,5.9,3.7,5.9,6.6,12.4,2.2,3.7,6.6,27.1,2012,adidas Next Generation Tournament
18,Alvydas Zarskus,LIE,4,19.9,11.7,16.6,0.7040000000000001,0.0,0.6,0.0,3.1,4.9,0.625,1.2,6.2,3.7,9.2,12.9,1.2,3.1,0.6,26.5,2012,adidas Next Generation Tournament
19,Mehmet Sanli,FEN,4,23.3,11.6,19.6,0.595,0.0,0.0,0.0,2.6,5.3,0.5,3.7,8.5,9.0,10.6,19.6,2.6,2.6,1.1,25.9,2012,adidas Next Generation Tournament
20,Oriol Pauli,FCB,3,25.8,11.0,21.4,0.514,1.8,8.0,0.231,1.8,3.1,0.6,5.5,1.2,2.4,6.1,8.6,1.2,4.3,1.2,25.7,2012,adidas Next Generation Tournament
21,Tayfun Erulku,EFE,2,24.8,9.8,27.6,0.35700000000000004,2.0,9.8,0.2,3.9,6.9,0.5710000000000001,4.9,7.9,0.0,3.0,3.0,7.9,1.0,0.0,25.6,2012,adidas Next Generation Tournament
22,Umar Atin,FEN,4,27.0,8.2,21.0,0.391,4.1,10.0,0.409,4.1,5.0,0.818,3.6,6.4,2.3,5.0,7.3,4.6,2.7,0.9,24.6,2012,adidas Next Generation Tournament
