#,Player,Team,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,SEASON,LEAGUE
1,Brandon Roy,POR,1,0,3,0,0,0,0,42,2,0.342,2.2,0.4,0.4,42,23,0.6459999999999999,7.0,2.3,9.3,2010,NBA
2,Paul Pierce,BOS,1,0,0,0,0,2,0,35,5,0.23800000000000002,1.3,0.5,0.5,45,26,0.634,5.0,3.4,8.4,2010,NBA
3,Jason Terry,DAL,1,0,0,0,0,0,0,36,5,0.255,2.7,0.9,0.3,51,26,0.662,4.4,2.2,6.6,2010,NBA
4,Vince Carter,ORL,1,0,1,0,0,0,0,48,3,0.244,2.2,0.5,0.3,54,21,0.72,4.4,3.0,7.3,2010,NBA
5,Metta World Peace,LAL,1,0,0,0,0,7,0,22,7,0.184,1.9,0.9,0.3,53,24,0.688,1.8,3.5,5.2,2010,NBA
6,Andrei Kirilenko,UTA,1,0,0,0,0,2,1,26,0,0.179,2.0,1.1,0.5,37,21,0.638,3.3,2.7,6.0,2010,NBA
7,Kirk Hinrich,CHI,1,0,0,0,0,0,0,30,11,0.22699999999999998,2.9,0.8,0.2,40,34,0.541,1.2,2.9,4.0,2010,NBA
8,George Hill,SAS,1,0,0,0,0,1,0,30,1,0.193,2.2,0.7,0.3,48,30,0.615,4.0,2.5,6.6,2010,NBA
9,Corey Brewer,MIN,1,0,0,0,0,2,0,27,1,0.19399999999999998,1.2,0.7,0.3,15,67,0.183,-0.2,1.3,1.1,2010,NBA
10,Ryan Gomes,MIN,1,0,0,0,0,0,0,27,0,0.157,1.4,0.7,0.2,12,64,0.158,1.5,0.8,2.4,2010,NBA
11,Jason Williams,ORL,1,0,0,0,0,0,0,25,4,0.162,3.4,0.6,0.1,59,23,0.72,2.5,1.9,4.4,2010,NBA
12,Arron Afflalo,DEN,1,0,0,0,0,0,0,24,2,0.131,1.9,0.6,0.2,53,29,0.6459999999999999,2.9,1.3,4.2,2010,NBA
13,Peja Stojakovic,NOP,1,0,0,0,0,0,0,29,1,0.155,1.6,0.9,0.2,32,30,0.516,1.9,1.1,3.0,2010,NBA
14,Ronnie Brewer,MEM,1,0,0,0,0,1,0,25,0,0.161,2.9,1.7,0.3,37,21,0.638,1.5,2.4,3.9,2010,NBA
15,Will Bynum,DET,1,0,0,0,1,0,0,27,2,0.22899999999999998,2.3,0.5,0.3,21,42,0.33299999999999996,1.2,0.5,1.7,2010,NBA
16,Ramon Sessions,MIN,1,0,0,0,0,0,0,23,-1,0.165,2.0,0.4,0.4,15,67,0.183,0.7,0.5,1.2,2010,NBA
17,Kevin Martin,HOU,1,0,1,0,0,0,0,48,0,0.23,1.2,0.5,0.5,16,30,0.348,3.3,0.5,3.8,2010,NBA
18,Goran Dragic,PHX,1,0,0,0,0,0,0,32,0,0.142,2.0,0.4,0.3,53,27,0.662,2.1,0.7,2.8,2010,NBA
19,Delonte West,CLE,1,0,0,0,0,0,0,27,6,0.172,2.1,0.6,0.3,42,18,0.7,1.2,1.9,3.1,2010,NBA
20,Craig Smith,LAC,1,0,0,0,0,0,0,25,0,0.114,1.0,0.4,0.5,25,50,0.33299999999999996,2.0,1.0,3.0,2010,NBA
21,Carlos Arroyo,MIA,1,0,0,0,0,0,0,17,0,0.154,4.0,0.6,0.2,43,29,0.597,2.2,1.7,3.8,2010,NBA
22,Shannon Brown,LAL,1,0,0,0,0,0,0,27,2,0.115,1.6,0.9,0.2,57,25,0.695,1.1,2.1,3.3,2010,NBA
23,Mickael Pietrus,ORL,1,0,0,0,0,0,0,24,1,0.102,0.7,0.8,0.2,53,22,0.7070000000000001,1.2,2.3,3.5,2010,NBA
24,Matt Bonner,SAS,1,0,0,0,0,0,0,28,1,0.094,1.7,0.8,0.1,40,25,0.615,2.1,1.5,3.6,2010,NBA
25,Donte Greene,SAC,1,0,0,0,0,0,1,31,2,0.10800000000000001,0.8,0.4,0.3,22,54,0.289,0.3,1.1,1.5,2010,NBA
26,Dahntay Jones,IND,1,0,0,0,0,0,0,25,0,0.156,1.2,0.3,0.4,28,48,0.368,0.3,1.6,1.9,2010,NBA
27,Josh Boone,NJN,1,0,0,1,0,0,0,13,0,0.067,0.8,0.8,0.3,9,54,0.14300000000000002,0.7,1.2,1.8,2010,NBA
28,Sonny Weems,TOR,1,0,0,0,0,0,0,21,1,0.124,1.6,0.6,0.1,32,37,0.46399999999999997,0.8,0.3,1.2,2010,NBA
29,Ryan Anderson,ORL,1,0,0,0,0,0,0,20,0,0.08900000000000001,0.7,0.4,0.2,46,17,0.73,1.7,1.4,3.0,2010,NBA
30,Zaza Pachulia,ATL,1,0,0,0,0,0,0,14,1,0.053,0.7,0.6,0.6,50,28,0.6409999999999999,1.1,1.5,2.7,2010,NBA
31,Nicolas Batum,POR,1,0,0,0,0,0,0,31,-2,0.134,1.6,0.8,0.2,23,14,0.622,2.4,1.0,3.4,2010,NBA
32,Kurt Thomas,MIL,1,0,0,0,0,0,0,12,1,0.055999999999999994,1.0,0.5,0.1,37,33,0.529,-0.0,2.0,2.0,2010,NBA
33,Andris Biedrins,GSW,1,0,0,0,0,0,2,12,0,0.10400000000000001,1.9,0.7,0.2,10,23,0.303,0.8,1.1,1.8,2010,NBA
34,Rafer Alston,MIA,1,1,0,0,0,0,0,20,1,0.183,1.8,0.5,0.2,13,39,0.25,-1.6,1.2,-0.3,2010,NBA
35,Tony Allen,BOS,1,0,0,0,0,1,0,16,0,0.10099999999999999,1.1,0.9,0.5,31,23,0.574,0.2,1.5,1.7,2010,NBA
36,Austin Daye,DET,1,0,0,0,0,0,0,16,0,0.069,0.7,0.5,0.2,22,47,0.319,0.5,0.6,1.1,2010,NBA
37,Joel Przybilla,POR,1,0,0,0,0,0,0,14,1,0.051,0.2,0.2,0.6,18,12,0.6,0.2,1.4,1.6,2010,NBA
38,Ime Udoka,SAC,1,0,0,0,0,0,0,19,0,0.057,1.4,0.8,0.2,21,48,0.304,0.0,0.8,0.8,2010,NBA
39,Dante Cunningham,POR,1,0,0,0,0,0,0,14,0,0.052000000000000005,0.9,1.5,0.2,37,26,0.5870000000000001,0.9,0.9,1.8,2010,NBA
40,Chris Hunter,GSW,1,0,0,0,0,0,0,22,0,0.06,1.3,0.5,0.3,19,41,0.317,1.0,0.3,1.3,2010,NBA
41,Travis Outlaw,LAC,1,0,0,0,0,0,0,23,1,0.11900000000000001,1.0,0.6,0.2,14,20,0.41200000000000003,0.4,0.5,0.9,2010,NBA
42,Jon Brockman,SAC,1,0,0,0,0,0,0,11,0,0.038,1.0,0.7,0.6,15,37,0.28800000000000003,1.2,0.4,1.6,2010,NBA
43,Morris Peterson,NOP,1,0,0,0,0,0,0,20,0,0.087,1.6,0.9,0.2,18,28,0.391,0.3,0.4,0.7,2010,NBA
44,Shelden Williams,BOS,1,0,0,0,0,0,0,14,1,0.040999999999999995,0.7,0.4,0.8,36,18,0.667,1.1,0.9,2.0,2010,NBA
45,Jeff Teague,ATL,1,0,0,0,0,0,0,24,0,0.076,2.4,0.7,0.2,50,21,0.7040000000000001,-0.2,0.9,0.6,2010,NBA
46,Vladimir Radmanovic,GSW,1,0,0,0,0,0,0,20,1,0.096,1.1,0.7,0.1,11,30,0.268,-0.6,0.7,0.1,2010,NBA
47,Trenton Hassell,NJN,1,0,0,0,0,0,0,17,0,0.08,1.1,0.4,0.3,6,46,0.115,-0.4,0.3,-0.1,2010,NBA
48,Joe Smith,ATL,1,0,0,0,0,0,0,12,0,0.04,0.9,0.3,0.2,42,22,0.6559999999999999,0.3,0.6,0.9,2010,NBA
49,Oleksiy Pecherov,MIN,1,0,0,0,0,0,0,24,0,0.054000000000000006,0.4,0.3,0.2,6,38,0.136,-0.2,0.3,0.1,2010,NBA
50,Chris Wilcox,DET,1,0,0,0,0,0,0,14,1,0.063,0.3,0.3,0.4,9,25,0.265,-0.3,0.5,0.2,2010,NBA
51,Darrell Arthur,MEM,1,0,0,0,0,0,0,16,1,0.063,0.7,0.6,0.2,14,18,0.43799999999999994,-0.2,0.4,0.2,2010,NBA
52,D.J. Mbenga,LAL,1,0,0,0,0,0,0,11,0,0.03,0.5,0.3,0.2,33,16,0.6729999999999999,-0.0,0.7,0.6,2010,NBA
53,Jermaine Taylor,HOU,1,0,0,0,0,0,0,15,0,0.053,0.9,0.5,0.4,13,18,0.419,-0.1,0.1,0.0,2010,NBA
54,Alonzo Gee,WAS,1,0,0,0,0,0,0,19,0,0.092,0.7,0.7,0.5,0,11,0.0,0.2,0.1,0.4,2010,NBA
55,Brandon Jennings,MIL,2,0,1,0,0,1,0,55,2,0.302,2.3,0.5,0.2,46,36,0.561,0.2,3.8,4.1,2010,NBA
56,Jarrett Jack,TOR,2,0,0,0,0,0,0,27,1,0.23,2.5,0.4,0.4,40,42,0.488,4.6,0.1,4.7,2010,NBA
57,Hedo Turkoglu,TOR,2,0,0,0,0,0,0,26,3,0.201,2.4,0.4,0.3,37,37,0.5,2.6,0.6,3.2,2010,NBA
58,Lou Williams,PHI,2,0,0,0,0,1,0,31,0,0.242,2.5,0.7,0.3,23,41,0.359,3.9,1.1,5.1,2010,NBA
59,Richard Jefferson,SAS,2,0,0,0,0,0,0,29,2,0.16699999999999998,1.5,0.4,0.4,49,32,0.605,2.9,2.9,5.8,2010,NBA
60,Earl Watson,IND,2,0,0,0,0,1,0,20,1,0.214,2.4,0.6,0.3,31,48,0.392,0.6,2.2,2.7,2010,NBA
61,Charlie Villanueva,DET,2,0,0,0,0,0,0,30,1,0.14800000000000002,0.7,0.6,0.2,27,51,0.34600000000000003,2.0,1.4,3.5,2010,NBA
62,Kyle Lowry,HOU,2,0,0,0,0,1,0,26,2,0.19,2.7,0.5,0.6,37,31,0.544,3.0,1.4,4.4,2010,NBA
63,Chris Duhon,NYK,2,0,0,0,0,0,0,25,0,0.213,3.5,0.5,0.2,25,42,0.373,1.6,0.6,2.2,2010,NBA
64,Jared Dudley,PHX,2,0,0,0,0,0,0,20,0,0.102,1.7,1.2,0.3,54,28,0.659,4.1,1.1,5.2,2010,NBA
65,Tayshaun Prince,DET,2,0,0,0,0,0,0,29,0,0.249,2.6,0.5,0.2,12,37,0.245,2.4,0.2,2.6,2010,NBA
66,Amir Johnson,TOR,2,0,0,0,0,0,0,26,-3,0.08,0.8,0.7,0.4,40,42,0.488,3.4,1.1,4.5,2010,NBA
67,Martell Webster,POR,2,0,0,0,0,0,0,28,0,0.10800000000000001,1.0,0.7,0.2,50,32,0.61,2.2,2.0,4.2,2010,NBA
68,Jrue Holiday,PHI,2,0,0,0,0,1,0,25,0,0.18600000000000003,1.8,0.5,0.2,24,49,0.32899999999999996,0.1,1.0,1.1,2010,NBA
69,Nick Collison,OKC,2,0,0,0,0,0,0,18,1,0.078,0.6,0.6,0.3,46,29,0.613,2.6,2.1,4.7,2010,NBA
70,Chase Budinger,HOU,2,0,0,0,0,0,0,24,0,0.12,1.9,0.7,0.2,38,36,0.514,2.0,1.1,3.1,2010,NBA
71,Randy Foye,WAS,2,0,0,0,0,0,0,26,0,0.18899999999999997,2.4,0.3,0.2,21,49,0.3,1.5,0.7,2.2,2010,NBA
72,Jared Jeffries,HOU,2,0,0,0,0,1,0,17,1,0.09,1.4,0.8,0.4,28,42,0.4,0.9,1.6,2.4,2010,NBA
73,Lou Amundson,PHX,2,0,0,0,0,0,1,20,2,0.057,0.6,0.4,0.4,53,26,0.6709999999999999,1.6,1.3,2.9,2010,NBA
74,Richard Hamilton,DET,2,0,0,0,0,0,0,36,10,0.295,1.7,0.3,0.3,14,32,0.304,1.0,0.0,1.0,2010,NBA
75,Juwan Howard,POR,2,0,0,0,0,0,0,16,4,0.095,0.8,0.4,0.2,44,29,0.603,0.9,1.4,2.4,2010,NBA
76,Chris Douglas-Roberts,NJN,2,0,0,0,0,0,0,31,1,0.154,0.9,0.6,0.3,12,55,0.179,-0.2,1.0,0.8,2010,NBA
77,T.J. Ford,IND,2,0,0,0,0,0,0,23,4,0.21600000000000003,2.1,0.5,0.3,13,34,0.27699999999999997,0.4,1.1,1.6,2010,NBA
